Accession	Female_Parent	Male_Parent
TMS13F1176P0007	IITA-TMS-IBA020431	IITA-TMS-IBA960023
TMS13F1332P0045	IITA-TMS-IBA940237	IITA-TMS-IBA970290
TMS13F1212P0034	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS13F1288P0014	IITA-TMS-IBA020129	IITA-TMS-IBA010903
TMS14F1154P0001	TMS13F1212P0032	TMS13F1154P0010
TMS13F1216P0010	IITA-TMS-IBA011412	IITA-TMS-IBA020540
TMS14F1283P0013	IITA-TMS-IBA070258	IITA-TMS-IBA960963
UG120083	UG110012	UG110012
TMS14F1054P0004	TMS13F1024P0002	TMS13F1212P0032
IITA-TMS-IBA011224	IITA-TMS-IBA9001554	IITA-TMS-IBA960035
TMS13F1108P0007	IITA-TMS-IBA070004	IITA-TMS-IBA011412
TMS13F1107P0008	IITA-TMS-IBA070004	IITA-TMS-IBA010046
TMS14F1153P0002	TMS13F1212P0002	TMS13F1154P0010
TMS14F1107P0004	TMS13F1124P0002	TMS13F1333P0003
TMS13F1439P0007	IITA-TMS-IBA980002	IITA-TMS-IBA020285
TMS14F1291P0017	IITA-TMS-IBA961632	IITA-TMS-IBA030055A
TMS13F1333P0010	IITA-TMS-IBA940237	IITA-TMS-IBA010046
TMS13F1153P0011	IITA-TMS-IBA993073	IITA-TMS-IBA940006
TMS13F1212P0016	IITA-TMS-IBA011412	IITA-TMS-IBA020129
TMS13F1391P0039	IITA-TMS-IBA030075	IITA-TMS-IBA940006
TMS14F1243P0019	TMS13F1333P0003	TMS13F1108P0007
TMS14F1081P0003	TMS13F1153P0007	TMS13F1212P0055
TMS14F1176P0003	TMS13F1212P0055	TMS13F1333P0003
TMS14F1291P0006	IITA-TMS-IBA961632	IITA-TMS-IBA030055A
TMS14F1086P0003	TMS13F1160P0009	TMS13F1212P0032
TMS14F1089P0003	TMS13F1332P0042	TMS13F1212P0002
TMS14F1245P0002	TMS13F1333P0003	TMS13F1212P0032
TMS13F1106P0004	IITA-TMS-IBA070004	IITA-TMS-IBA000350
TMS13F1087P0014	IITA-TMS-IBA020285	IITA-TMS-IBA980002
TMS14F1301P0001	IITA-TMS-IBA020431	IITA-TMS-IBA030055A
TMS14F1166P0006	TMS13F1216P0026	TMS13F1154P0010
TMS14F1029P0001	TMS13F1063P0019	TMS13F1307P0020
TMS14F1205P0002	TMS13F1333P0003	TMS13F1307P0020
TMS13F1154P0010	IITA-TMS-IBA993073	IITA-TMS-IBA970425
IITA-TMS-IBA061101	IITA-TMS-IBA011649	IITA-TMS-IBA011649
IITA-TMS-IBA070632	IITA-TMS-IBA011649	I974045
TMS14F1240P0005	TMS13F1333P0002	TMS13F1212P0002
TMS13F1333P0027	IITA-TMS-IBA940237	IITA-TMS-IBA010046
TMS14F1017P0003	TMS13F1307P0020	TMS13F1108P0007
TMS13F1254P0015	IITA-TMS-IBA930134	IITA-TMS-IBA000211
TMS14F1213P0002	TMS13F1107P0008	TMS13F1154P0010
TMS14F1224P0002	TMS13F1106P0006	TMS13F1212P0055
TMS14F1091P0009	TMS13F1336P0023	TMS13F1212P0032
TMS13F1122P0004	IITA-TMS-IBA070025	IITA-TMS-IBA000350
TMS14F1291P0001	IITA-TMS-IBA961632	IITA-TMS-IBA030055A
TMS14F1202P0002	TMS13F1333P0027	TMS13F1306P0004
TMS13F1176P0003	IITA-TMS-IBA020431	IITA-TMS-IBA960023
TMS14F1229P0004	TMS13F1107P0006	TMS13F1212P0032
TMS13F1291P0007	IITA-TMS-IBA020129	IITA-TMS-IBA030075
TMS14F1035P0003	TMS13F1095P0009	TMS13F1307P0008
TMS13F1176P0008	IITA-TMS-IBA020431	IITA-TMS-IBA960023
IITA-TMS-IBA011646	IITA-TMS-IBA8902195	IITA-TMS-IBA940330
TMS14F1245P0007	TMS13F1333P0003	TMS13F1212P0032
TMS14F1176P0010	TMS13F1212P0055	TMS13F1333P0003
TMS14F1247P0003	TMS13F1436P0012	TMS13F1212P0032
TMS13F1436P0012	IITA-TMS-IBA980002	IITA-TMS-IBA010046
TMS14F1283P0002	IITA-TMS-IBA070258	IITA-TMS-IBA960963
TMS13F1176P0010	IITA-TMS-IBA020431	IITA-TMS-IBA960023
TMS13F1423P0009	IITA-TMS-IBA930007	IITA-TMS-IBA020129
TMS13F1160P0009	IITA-TMS-IBA993073	IITA-TMS-IBA051740
TMS13F1095P0016	IITA-TMS-IBA063046	IITA-TMS-IBA950279
TMS13F1069P0010	IITA-TMS-IBA982101	IITA-TMS-IBA011412
TMS14F1288P0001	IITA-TMS-IBA020540	IITA-TMS-IBA030055A
IITA-TMS-IBA070553	IITA-TMS-IBA011663	IITA-TMS-IBA011335
TMS13F1045P0019	IITA-TMS-IBA970353	IITA-TMS-IBA010903
TMS13F1307P0011	IITA-TMS-IBA030060	IITA-TMS-IBA010903
TMS13F1288P0001	IITA-TMS-IBA020129	IITA-TMS-IBA010903
TMS14F1090P0003	TMS13F1332P0045	TMS13F1212P0032
TMS14F1135P0003	TMS13F1124P0002	TMS13F1008P0006
TMS13F1107P0010	IITA-TMS-IBA070004	IITA-TMS-IBA010046
TMS14F1154P0005	TMS13F1212P0032	TMS13F1154P0010
TMS13F1145P0011	IITA-TMS-IBA961632	TMEB117
TMS13F1153P0007	IITA-TMS-IBA993073	IITA-TMS-IBA940006
TMS14F1213P0001	TMS13F1107P0008	TMS13F1154P0010
TMS13F1145P0029	IITA-TMS-IBA961632	TMEB117
TMS13F1060P0025	IITA-TMS-IBA980196	IITA-TMS-IBA974766
TMS13F1122P0002	IITA-TMS-IBA070025	IITA-TMS-IBA000350
TMS14F1027P0002	TMS13F1212P0003	TMS13F1212P0002
TMS14F1247P0002	TMS13F1436P0012	TMS13F1212P0032
TMS14F1056P0002	TMS13F1034P0019	TMS13F1212P0002
TMS14F1117P0007	TMS13F1160P0003	TMS13F1333P0003
TMS13F1079P0005	IITA-TMS-IBA020131	IITA-TMS-ZAR930151
